,Rigidity,Ratio,Total sig
0,2.275,0.15037352599236006,0.022000227271553357
1,2.535,0.15632322426177175,0.02059732992404598
2,2.8200000000000003,0.15956072880825772,0.019110729970359584
3,3.13,0.16292565124118907,0.017833115263464205
4,3.465,0.1652905272699804,0.016629191201017565
5,3.83,0.1671622833233712,0.015566630977832037
6,4.225,0.1672416131441374,0.014718695594379279
7,4.654999999999999,0.16521640459631085,0.013797463535012513
8,5.125,0.163847354779692,0.013023056476879765
9,5.635,0.1614696889989169,0.01231665539016173
10,6.1850000000000005,0.158430279135783,0.011819052415485769
11,6.779999999999999,0.156173824,0.011321660655575223
12,7.425,0.15273506217277485,0.010897706180660223
13,8.120000000000001,0.14992178696449407,0.010615083607772479
14,8.870000000000001,0.14788524590163937,0.010332473082471592
15,9.68,0.14467634761575676,0.01004987562112089
16,10.55,0.1429517048435041,0.009982484660644364
17,11.5,0.13941509772279004,0.009767292357659824
18,12.5,0.13624689908256882,0.009626006440887104
19,13.55,0.1326710382513661,0.009343446901438462
20,14.7,0.13049676245210728,0.009269843580125826
21,15.950000000000001,0.1272499214145383,0.009128526715741155
22,17.3,0.12297495425899575,0.00891403387922662
23,18.75,0.12074792960662525,0.00891403387922662
24,20.3,0.11757218796512865,0.008772684879784524
25,21.950000000000003,0.11399289473684211,0.008558621384311845
26,23.75,0.11091643002028398,0.008417244204607587
27,25.7,0.10836332179930797,0.008275868534480233
28,27.75,0.10598525943396224,0.008134494452638098
29,29.950000000000003,0.10233880341880341,0.00806225774829855
30,32.3,0.09883554993678886,0.007990619500389191
31,34.8,0.09743698384201077,0.007990619500389191
32,37.5,0.0930003224073079,0.007849203781276163
33,40.4,0.0897597995545657,0.00777946013551069
34,43.5,0.08753424657534248,0.007778174593052022
35,46.8,0.08637478311162522,0.007919595949289333
36,50.35,0.08228293867638128,0.007778174593052022
37,54.150000000000006,0.08087584928968498,0.007849203781276163
38,58.2,0.07874403553299493,0.007919595949289333
39,62.55,0.07652084828711256,0.007990619500389191
40,67.25,0.07339162980605647,0.007849203781276163
41,72.30000000000001,0.07207668052668052,0.007919595949289333
42,77.7,0.0692703677000721,0.007919595949289333
43,83.5,0.06800366972477064,0.008132035415564788
44,89.75,0.06688719671519223,0.00820243866176395
45,96.5,0.0640778816199377,0.008203657720797473
46,104.0,0.059853919933277724,0.007990619500389191
47,112.0,0.05986933333333334,0.008417244204607587
48,120.5,0.058511508951406645,0.008345058418010025
49,130.0,0.05504531037607612,0.008275868534480233
50,141.0,0.055915075825156105,0.008627861844049196
51,153.5,0.05429017447199265,0.008982761268117949
52,167.5,0.053354040168145725,0.008982761268117949
53,183.5,0.05137333979641298,0.008987213138676528
54,201.5,0.0483161423414131,0.00891403387922662
55,222.0,0.04864687819856704,0.0094847245611035
56,246.0,0.04614054054054054,0.009479451460923253
57,275.0,0.043947022121383995,0.009689685237405805
58,310.5,0.041528014397120575,0.009620810776644555
59,354.5,0.03921017164653528,0.009903534722511957
60,410.0,0.04129596142254371,0.010971326264403952
61,483.0,0.03810006557377049,0.010889444430272833
62,592.5,0.0339878030859662,0.010677546534667971
63,770.0,0.034175255474452555,0.012379418403139948
64,1090.0,0.03399575713240673,0.01494824404403407
65,2300.0,0.022581305309734515,0.01881116689628796
